disasterNumber,State,Title, FederalFunded ,ProjectAmount
4003,Pennsylvania,SEVERE STORMS AND FLOODING," $9,389,606.38 ",12423502.86
4276,Wisconsin,SEVERE STORMS AND FLOODING," $9,294,202.25 ",12314558.02
1936,New Mexico,SEVERE STORMS AND FLOODING," $8,948,160.85 ",11792384.62
4151,New Mexico,SEVERE STORMS AND FLOODING," $8,937,132.02 ",9898032.01
4228,Louisiana,SEVERE STORMS AND FLOODING," $8,874,506.45 ",11770800.61
4268,Mississippi,SEVERE STORMS AND FLOODING," $8,839,144.11 ",11756756.27
4076,Wisconsin,SEVERE STORMS AND FLOODING," $8,709,024.08 ",11572281.67
4159,Texas,SEVERE STORMS AND FLOODING," $8,557,926.01 ",11134519.1
4143,Arkansas,SEVERE STORMS AND FLOODING," $8,184,156.32 ",10826266.1
4352,New Mexico,SEVERE STORMS AND FLOODING," $8,030,606.74 ",8918999.71
4033,New Jersey,SEVERE STORMS AND FLOODING," $7,037,295.10 ",9330912.89
1940,Arizona,SEVERE STORMS AND FLOODING," $6,556,225.54 ",8688654.35
1772,Minnesota,SEVERE STORMS AND FLOODING," $6,361,368.91 ",8433780.94
4140,Vermont,SEVERE STORMS AND FLOODING," $6,296,981.81 ",8335872.97
4290,Minnesota,SEVERE STORMS AND FLOODING," $6,190,615.38 ",8180294.51
4287,Kansas,SEVERE STORMS AND FLOODING," $6,088,636.41 ",8041492.26
4197,New Mexico,SEVERE STORMS AND FLOODING," $6,027,956.13 ",7940421.05
4203,Arizona,SEVERE STORMS AND FLOODING," $5,830,990.55 ",7622096.57
4102,Louisiana,SEVERE STORMS AND FLOODING," $5,662,893.43 ",7518008.6
1844,South Dakota,SEVERE STORMS AND FLOODING," $5,301,081.25 ",7044186.36
1935,Illinois,SEVERE STORMS AND FLOODING," $5,010,717.42 ",6660411.93
1740,Indiana,SEVERE STORMS AND FLOODING," $4,976,848.47 ",6579323.87
1919,Puerto Rico,SEVERE STORMS AND FLOODING," $4,867,408.93 ",6418952.24
1774,South Dakota,SEVERE STORMS AND FLOODING," $4,716,310.17 ",6268522.3
1790,Vermont,SEVERE STORMS AND FLOODING," $4,570,622.52 ",6080945.06
1938,South Dakota,SEVERE STORMS AND FLOODING," $4,426,139.20 ",5891850.86
4018,Iowa,SEVERE STORMS AND FLOODING," $4,132,709.44 ",5463291.78
1944,Wisconsin,SEVERE STORMS AND FLOODING," $4,019,463.94 ",5346632.59
1988,Oklahoma,SEVERE STORMS AND FLOODING," $3,981,421.81 ",5265645.55
1937,Tennessee,SEVERE STORMS AND FLOODING," $3,950,567.97 ",5251444.56
1787,New Hampshire,SEVERE STORMS AND FLOODING," $3,673,097.45 ",4895728.69
4132,West Virginia,SEVERE STORMS AND FLOODING," $3,283,729.69 ",4375137.16
1860,Kansas,SEVERE STORMS AND FLOODING," $3,143,581.09 ",4162559.76
1928,Iowa,SEVERE STORMS AND FLOODING," $3,008,481.95 ",3992091.69
1755,Maine,SEVERE STORMS AND FLOODING," $2,984,256.53 ",4268948.14
4202,Nevada,SEVERE STORMS AND FLOODING," $2,609,363.36 ",3432384.07
4274,Oklahoma,SEVERE STORMS AND FLOODING," $2,517,350.03 ",3338353.76
1927,Idaho,SEVERE STORMS AND FLOODING," $2,515,039.14 ",3309470.08
4227,Wyoming,SEVERE STORMS AND FLOODING," $2,505,952.16 ",3319101.63
1913,New Hampshire,SEVERE STORMS AND FLOODING," $2,489,369.98 ",3318327.27
4190,North Dakota,SEVERE STORMS AND FLOODING," $2,416,454.54 ",3196415.33
1856,Tennessee,SEVERE STORMS AND FLOODING," $2,203,358.38 ",2923462.85
4120,Vermont,SEVERE STORMS AND FLOODING," $1,914,682.79 ",2538237.5
4178,Vermont,SEVERE STORMS AND FLOODING," $1,824,522.67 ",2420189.19
1953,Maine,SEVERE STORMS AND FLOODING," $1,600,455.83 ",2132821.46
1920,Maine,SEVERE STORMS AND FLOODING," $1,258,988.51 ",1679983.72
4006,New Hampshire,SEVERE STORMS AND FLOODING," $1,218,835.96 ",1623853.02
1778,Vermont,SEVERE STORMS AND FLOODING," $1,086,864.23 ",1447177.59
1947,South Dakota,SEVERE STORMS AND FLOODING," $1,079,972.79 ",1434824.05
1814,Hawaii,SEVERE STORMS AND FLOODING," $1,022,244.18 ",1318611.87
4043,Vermont,SEVERE STORMS AND FLOODING," $946,367.37 ",1260333.88
4330,Vermont,SEVERE STORMS AND FLOODING," $899,091.31 ",1188695.71
1799,New Hampshire,SEVERE STORMS AND FLOODING," $823,848.76 ",1098410.13
4329,New Hampshire,SEVERE STORMS AND FLOODING," $576,670.54 ",755913.36
1950,Arizona,SEVERE STORMS AND FLOODING," $574,530.98 ",638367.76
3304,Minnesota,SEVERE STORMS AND FLOODING," $544,794.58 ",726392.77
4123,North Dakota,SEVERE STORMS AND FLOODING," $239,920.61 ",316435.45
4147,New Mexico,SEVERE STORMS AND FLOODING," $72,568.60 ",95990.8
4269,Texas,SEVERE STORMS AND FLOODING ," $28,964,937.41 ",37824175.08
4148,New Mexico,SEVERE STORMS AND FLOODING ," $5,933,388.77 ",7691014.02
1869,New York,SEVERE STORMS AND FLOODING ASSOC W TD IDA & NOR'EASTER," $14,742,880.72 ",19648332.64
1793,Arkansas,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV," $3,892,240.53 ",5185200.11
1797,Alabama,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE IKE," $5,940,451.74 ",7779193.98
1867,New Jersey,SEVERE STORMS AND FLOODING ASSOCIATED WITH TROPICAL DEPRESSION IDA AND A NOR'EAS," $12,726,038.83 ",16691344.26
1862,Virginia,SEVERE STORMS AND FLOODING ASSOCIATED WITH TROPICAL DEPRESSION IDA AND A NOR'EAST," $7,711,083.63 ",10177129.98
4098,Ohio,SEVERE STORMS AND FLOODING DUE TO THE REMNANTS OF HURRICANE SANDY," $19,551,083.88 ",25942753.63
4072,Virginia,SEVERE STORMS AND STRAIGHT-LINE WINDS," $21,744,813.76 ",28660257.4
4077,Ohio,SEVERE STORMS AND STRAIGHT-LINE WINDS," $16,595,662.54 ",22035744.51
4075,Maryland,SEVERE STORMS AND STRAIGHT-LINE WINDS," $12,040,508.41 ",16036675.99
4071,West Virginia,SEVERE STORMS AND STRAIGHT-LINE WINDS," $11,718,720.76 ",15611663.42
4070,New Jersey,SEVERE STORMS AND STRAIGHT-LINE WINDS," $8,961,650.25 ",11847225.98
1994,Massachusetts,SEVERE STORMS AND TORNADOES," $74,497,100.69 ",98889914.3
1761,Georgia,SEVERE STORMS AND TORNADOES," $10,732,656.80 ",14226904.88
1834,Arkansas,SEVERE STORMS AND TORNADOES," $4,867,137.46 ",6441458.07
1764,Mississippi,SEVERE STORMS AND TORNADOES," $4,330,036.43 ",5425879.32
1990,Minnesota,SEVERE STORMS AND TORNADOES," $3,548,610.44 ",4684223.92
